Image name,TagLab Date,TagLab Type,TagLab Genet Id,TagLab Id,TagLab Class name,TagLab Centroid x,TagLab Centroid y,TagLab Perimeter,TagLab Area,TagLab Surf. area,TagLab Note
P8080168.JPG,2025-08-08,Region,159,0,1,878.3,1931.0,84.6,467.41,0.0,
P8080168.JPG,2025-08-08,Region,160,1,2,853.4,1661.2,91.1,518.82,0.0,
P8080168.JPG,2025-08-08,Region,161,2,3,863.7,1343.2,90.4,511.27,0.0,
P8080168.JPG,2025-08-08,Region,162,3,4,835.0,1034.9,85.6,434.15,0.0,
P8080168.JPG,2025-08-08,Region,163,4,5,871.4,736.6,87.7,470.28,0.0,
P8080168.JPG,2025-08-08,Region,164,5,6,847.8,443.6,80.2,384.0,0.0,
P8080168.JPG,2025-08-08,Region,165,6,7,1179.0,449.8,80.2,393.62,0.0,
P8080168.JPG,2025-08-08,Region,166,7,8,1184.3,735.5,96.3,600.11,0.0,
P8080168.JPG,2025-08-08,Region,167,8,9,1173.9,1046.3,96.0,583.64,0.0,
P8080168.JPG,2025-08-08,Region,168,9,10,1178.2,1348.2,92.3,504.81,0.0,
P8080168.JPG,2025-08-08,Region,169,10,11,1746.8,1966.9,79.8,366.56,0.0,
P8080168.JPG,2025-08-08,Region,170,11,12,1769.3,1679.3,90.9,540.63,0.0,
P8080168.JPG,2025-08-08,Region,171,12,13,1745.8,1335.5,100.0,608.95,0.0,
P8080168.JPG,2025-08-08,Region,172,13,14,1765.0,1026.7,89.0,516.25,0.0,
P8080168.JPG,2025-08-08,Region,173,14,15,1769.3,756.5,84.5,460.54,0.0,
P8080168.JPG,2025-08-08,Region,174,15,16,1788.6,430.5,85.1,454.5,0.0,
P8080168.JPG,2025-08-08,Region,175,16,17,2089.7,442.4,89.9,481.04,0.0,
P8080168.JPG,2025-08-08,Region,176,17,18,2084.6,745.3,104.0,689.0,0.0,
P8080168.JPG,2025-08-08,Region,177,18,19,2063.6,1051.5,100.5,595.3,0.0,
P8080168.JPG,2025-08-08,Region,178,19,20,2087.5,1347.8,92.6,482.47,0.0,
P8080168.JPG,2025-08-08,Region,179,20,21,2667.3,1942.1,89.9,462.65,0.0,
P8080168.JPG,2025-08-08,Region,180,21,22,2659.8,1633.0,100.8,596.61,0.0,
P8080168.JPG,2025-08-08,Region,181,22,23,2633.1,1360.6,109.4,777.12,0.0,
P8080168.JPG,2025-08-08,Region,182,23,24,2631.7,1046.9,86.5,495.66,0.0,
P8080168.JPG,2025-08-08,Region,183,24,25,2642.9,732.5,86.6,471.15,0.0,
P8080168.JPG,2025-08-08,Region,184,25,26,2637.3,449.8,97.1,544.8,0.0,
P8080168.JPG,2025-08-08,Region,185,26,27,2959.6,439.7,99.8,565.79,0.0,
P8080168.JPG,2025-08-08,Region,186,27,28,2976.5,769.5,92.1,526.09,0.0,
P8080168.JPG,2025-08-08,Region,187,28,29,2973.7,1031.7,89.5,481.0,0.0,
P8080168.JPG,2025-08-08,Region,188,29,30,2968.8,1349.0,102.1,652.92,0.0,
